id,name,pop
1,Amnat Charoen,1
2,Ang Thong,2
3,Bangkok Metropolis,231
4,Bueng Kan,0
5,Buri Ram,11
6,Chachoengsao,5
7,Chai Nat,3
8,Chaiyaphum,4
9,Chanthaburi,3
10,Chiang Mai,14
11,Chiang Rai,12
12,Chon Buri,21
13,Chumphon,115
14,Kalasin,5
15,Kamphaeng Phet,4
16,Kanchanaburi,5
17,Khon Kaen,11
18,Krabi,157
19,Lampang,4
20,Lamphun,1
21,Loei,8
22,Lop Buri,1
23,Mae Hong Son,1
24,Maha Sarakham,5
25,Mukdahan,3
26,Nakhon Nayok,2
27,Nakhon Pathom,16
28,Nakhon Phanom,3
29,Nakhon Ratchasima,22
30,Nakhon Sawan,4
31,Nakhon Si Thammarat,649
32,Nan,2
33,Narathiwat,143
34,Nong Bua Lam Phu,2
35,Nong Khai,9
36,Nonthaburi,4
37,Pathum Thani,3
38,Pattani,90
39,Phangnga,192
40,Phatthalung,237
41,Phayao,5
42,Phetchabun,3
43,Phetchaburi,4
44,Phichit,1
45,Phitsanulok,6
46,Phra Nakhon Si Ayutthaya,5
47,Phrae,2
48,Phuket,1136
49,Prachin Buri,3
50,Prachuap Khiri Khan,10
51,Ranong,49
52,Ratchaburi,19
53,Rayong,8
54,Roi Et,6
55,Sa Kaeo,0
56,Sakon Nakhon,9
57,Samut Prakan,7
58,Samut Sakhon,8
59,Samut Songkhram,0
60,Saraburi,5
61,Satun,89
62,Si Sa Ket,4
63,Sing Buri,2
64,Songkhla,1074
65,Sukhothai,3
66,Suphan Buri,8
67,Surat Thani,407
68,Surin,5
69,Tak,1
70,Trang,483
71,Trat,2
72,Ubon Ratchathani,4
73,Udon Thani,16
74,Uthai Thani,1
75,Uttaradit,0
76,Yala,220
77,Yasothon,5
